Name,DiscRef,r_SpT,r_radius,r_log_g,r_Teff,r_Mass,r_D_Trig,r_pm,r_SDSS,r_PanSTARRS_y,JHKRef,MKORef,r_Peculiarities,r_Member,r_Gaia-G,r_RV,Polarization Ref,r_IRAC3p6,r_IRAC4p5,r_MKO-Y,r_Variable,r_Variable_period,r_IRAC5p8,r_IRAC8,r_MKO-L
2MASS J00063158-2158225,Robert2016,Robert2016,,,,,,Robert2016,PS1,PS1,2MASS,,Robert2016,,,,,,,,,,,,
J0006+1406,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,West2008,,,West2008;Schmidt2010,,,,,,,,,
SDSS J000636.38-090603.0,Theissen2017,,,,Theissen2017,,,HSOY,PS1,PS1,2MASS,,,,HSOY,,,,,,,,,,
J0006+1512,Zhang2010,Zhang2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
2MASS J00064916-0852457,Robert2016,Robert2016,,,,,,Robert2016,PS1,,2MASS,,Robert2016,,,West2008,,,,,,,,,
J0006-6436,Martin2010 ; Tinney2010,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,,GagneBDs,,,2MASS,,Gagne2015c,Gagne2015c,Gaia1,,,,,,,,,,
J0007+0112,Burningham2013,Burningham2013,,,,,,,PS1,,,Burningham2013,,,,,,,,Burningham2013,,,,,
2MASS J00081285+0806441,Robert2016,Robert2016,,,,,,Robert2016,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0008-1739,Kirkpatrick2011,Kirkpatrick2011,,,,,,,PS1,PS1,2MASS,,,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
J000856.39-281321.7,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J0010-2031,Cruz2007,Cruz2007,,,,,,Jameson2008,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0010+0100,Day-Jones2013,Day-Jones2013,,,,,,,PS1,PS1,,,,,,,,,,,,,,,
J0011-1523,Gagne2015c,Gagne2015c,,Gagne2015c,,,,,PS1,PS1,2MASS,,,,,,,,,,,,,,
2MASS J00132128+0841006,Robert2016,Robert2016,,,,,,Robert2016,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0013+0634,Pinfield2013,Pinfield2013,,,,,,Pinfield2013,PS1,,,,,,,,,Pinfield2013,Pinfield2013,,,,,,
J0013-2235,Kendall2003,Kendall2003,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
